"DONNEES - Nombre d'activités exercées par les médecins"
"ANNEE - 2018"

,SEXE,"Ensemble tous sexes confondus","Ensemble tous sexes confondus","Ensemble tous sexes confondus","Ensemble tous sexes confondus","Ensemble tous sexes confondus","Ensemble tous sexes confondus","Ensemble tous sexes confondus","Ensemble tous sexes confondus","Ensemble tous sexes confondus","Ensemble tous sexes confondus","Ensemble tous sexes confondus","Hommes","Hommes","Hommes","Hommes","Hommes","Hommes","Hommes","Hommes","Hommes","Hommes","Hommes","Femmes","Femmes","Femmes","Femmes","Femmes","Femmes","Femmes","Femmes","Femmes","Femmes","Femmes"
"Anatomie et cytologie pathologiques","Etablissement privé ESPIC",18,0,3,0,2,4,2,1,5,1,0,7,0,2,0,0,0,1,1,2,1,0,11,0,1,0,2,4,1,0,3,0,0
"Anatomie et cytologie pathologiques","Etablissement privé lucratif",33,0,1,2,0,1,7,8,9,3,2,19,0,1,1,0,1,2,5,5,2,2,14,0,0,1,0,0,5,3,4,1,0
"Anatomie et cytologie pathologiques","Centre de santé",2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1
"Anatomie et cytologie pathologiques","Cabinet individuel",48,0,3,1,2,2,7,11,13,3,6,22,0,1,0,0,1,2,6,5,3,4,26,0,2,1,2,1,5,5,8,0,2
"Anatomie et cytologie pathologiques","Cabinet de groupe, société",1264,2,70,83,107,129,221,221,320,86,25,592,2,24,26,40,44,122,109,146,59,20,672,0,46,57,67,85,99,112,174,27,5
"Anatomie et cytologie pathologiques","Prévention",5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0
"Anatomie et cytologie pathologiques","Autres secteurs",210,2,37,19,17,17,27,37,28,17,9,66,0,13,1,2,4,8,14,11,9,4,144,2,24,18,15,13,19,23,17,8,5
"Anatomie et cytologie pathologiques","Activités exercées par des remplaçants",132,3,28,16,9,9,7,16,14,17,13,63,2,15,6,6,3,1,6,6,9,9,69,1,13,10,3,6,6,10,8,8,4
"Anesthésie-réanimation","ENSEMBLE",14416,125,1642,1939,1850,1555,1489,1589,2607,1208,412,9406,68,818,1164,1132,977,1007,1131,1891,895,323,5010,57,824,775,718,578,482,458,716,313,89
"Anesthésie-réanimation","Hôpital public",6434,101,1098,870,718,624,603,682,1112,492,134,3646,55,502,441,388,329,349,427,720,330,105,2788,46,596,429,330,295,254,255,392,162,29
"Anesthésie-réanimation","Etablissement privé ESPIC",583,3,56,86,79,60,61,71,112,47,8,346,3,30,41,43,35,45,45,69,30,5,237,0,26,45,36,25,16,26,43,17,3
"Anesthésie-réanimation","Etablissement privé lucratif",1218,0,38,185,208,162,154,142,241,64,24,943,0,26,146,144,110,129,121,194,55,18,275,0,12,39,64,52,25,21,47,9,6
"Anesthésie-réanimation","Centre de santé",16,0,0,0,1,0,2,2,4,4,3,4,0,0,0,0,0,1,0,1,1,1,12,0,0,0,1,0,1,2,3,3,2
"Anesthésie-réanimation","Cabinet individuel",802,0,25,92,126,108,88,99,142,80,42,582,0,18,73,83,77,61,68,103,67,32,220,0,7,19,43,31,27,31,39,13,10
"Anesthésie-réanimation","Cabinet de groupe, société",3259,0,104,413,487,431,398,430,708,239,49,2506,0,75,298,334,319,307,351,586,200,36,753,0,29,115,153,112,91,79,122,39,13
"Anesthésie-réanimation","Prévention",10,0,0,0,5,1,0,0,2,2,0,2,0,0,0,1,1,0,0,0,0,0,8,0,0,0,4,0,0,0,2,2,0
"Anesthésie-réanimation","Autres secteurs",556,2,41,70,68,55,65,64,121,53,17,371,2,13,40,42,37,40,47,97,42,11,185,0,28,30,26,18,25,17,24,11,6
"Anesthésie-réanimation","Activités exercées par des remplaçants",1538,19,280,223,158,114,118,99,165,227,135,1006,8,154,125,97,69,75,72,121,170,115,532,11,126,98,61,45,43,27,44,57,20
"Biologie médicale","ENSEMBLE",3225,32,312,313,303,407,699,803,248,74,34,1548,13,141,132,115,154,333,446,139,45,30,1677,19,171,181,188,253,366,357,109,29,4
"Biologie médicale","Hôpital public",1285,16,178,139,113,154,242,300,102,31,10,522,5,77,58,28,48,94,134,52,18,8,763,11,101,81,85,106,148,166,50,13,2
"Biologie médicale","Etablissement privé ESPIC",29,0,2,3,2,2,6,12,1,1,0,15,0,2,2,0,2,1,8,0,0,0,14,0,0,1,2,0,5,4,1,1,0
"Biologie médicale","Etablissement privé lucratif",13,0,0,2,1,1,1,8,0,0,0,3,0,0,0,0,1,0,2,0,0,0,10,0,0,2,1,0,1,6,0,0,0
"Biologie médicale","Centre de santé",22,0,1,1,3,1,6,6,3,1,0,10,0,0,0,1,1,2,4,1,1,0,12,0,1,1,2,0,4,2,2,0,0
"Biologie médicale","Cabinet individuel",6,0,1,0,0,0,0,2,0,1,2,3,0,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,2,0,1,0
"Biologie médicale","Cabinet de groupe, société",8,0,1,0,1,0,3,2,1,0,0,4,0,1,0,0,0,0,2,1,0,0,4,0,0,0,1,0,3,0,0,0,0
"Biologie médicale","Prévention",30,0,1,2,5,3,7,9,2,0,1,9,0,1,0,0,0,1,6,0,0,1,21,0,0,2,5,3,6,3,2,0,0
"Biologie médicale","Autres secteurs",1713,7,101,156,169,237,425,439,129,34,16,919,4,46,69,80,97,228,277,80,23,15,794,3,55,87,89,140,197,162,49,11,1
"Biologie médicale","Activités exercées par des remplaçants",119,9,27,10,9,9,9,25,10,6,5,63,4,13,3,6,5,7,13,5,3,4,56,5,14,7,3,4,2,12,5,3,1
"Cardiologie et maladies vasculaires","ENSEMBLE",12616,242,1041,1402,1281,1318,1614,1963,2074,1085,596,9595,127,590,871,814,959,1239,1644,1767,1012,572,3021,115,451,531,467,359,375,319,307,73,24
"Cardiologie et maladies vasculaires","Hôpital public",3531,192,531,440,347,348,399,509,471,218,76,2498,96,298,260,219,238,304,422,386,200,75,1033,96,233,180,128,110,95,87,85,18,1
"Cardiologie et maladies vasculaires","Etablissement privé ESPIC",395,9,35,59,42,54,57,44,50,28,17,237,2,16,29,17,30,36,32,34,24,17,158,7,19,30,25,24,21,12,16,4,0
"Cardiologie et maladies vasculaires","Etablissement privé lucratif",1334,3,52,163,151,158,196,202,235,115,59,1075,2,29,105,97,126,157,175,215,111,58,259,1,23,58,54,32,39,27,20,4,1
"Cardiologie et maladies vasculaires","Centre de santé",330,0,10,27,17,14,28,47,75,48,64,226,0,4,12,9,3,16,33,54,40,55,104,0,6,15,8,11,12,14,21,8,9
"Cardiologie et maladies vasculaires","Cabinet individuel",1729,1,38,117,111,148,237,305,367,225,180,1363,0,22,68,69,103,169,243,307,211,171,366,1,16,49,42,45,68,62,60,14,9
"Cardiologie et maladies vasculaires","Cabinet de groupe, société",3934,3,206,423,452,451,535,668,721,358,117,3147,2,130,281,296,341,420,585,638,341,113,787,1,76,142,156,110,115,83,83,17,4
"Cardiologie et maladies vasculaires","Prévention",37,0,1,0,0,2,5,5,6,5,13,29,0,0,0,0,1,4,4,4,3,13,8,0,1,0,0,1,1,1,2,2,0
"Cardiologie et maladies vasculaires","Autres secteurs",807,5,24,102,108,114,123,146,125,38,22,671,3,17,76,73,95,111,127,112,35,22,136,2,7,26,35,19,12,19,13,3,0
"Cardiologie et maladies vasculaires","Activités exercées par des remplaçants",519,29,144,71,53,29,34,37,24,50,48,349,22,74,40,34,22,22,23,17,47,48,170,7,70,31,19,7,12,14,7,3,0
"Chirurgie générale","ENSEMBLE",5031,145,1189,512,340,310,315,498,936,555,231,4121,97,777,350,250,264,264,456,899,541,223,910,48,412,162,90,46,51,42,37,14,8
"Chirurgie générale","Hôpital public",2421,123,981,301,117,110,97,162,324,155,51,1797,78,640,199,68,85,77,141,310,149,50,624,45,341,102,49,25,20,21,14,6,1
"Chirurgie générale","Etablissement privé ESPIC",186,3,32,34,20,15,15,12,32,15,8,151,3,20,23,20,11,11,10,32,13,8,35,0,12,11,0,4,4,2,0,2,0
"Chirurgie générale","Etablissement privé lucratif",424,1,13,21,42,33,40,68,100,82,24,392,1,10,13,34,32,33,66,99,81,23,32,0,3,8,8,1,7,2,1,1,1
"Chirurgie générale","Centre de santé",54,0,3,7,3,0,0,2,10,15,14,47,0,3,4,2,0,0,1,9,14,14,7,0,0,3,1,0,0,1,1,1,0
"Chirurgie générale","Cabinet individuel",440,0,12,43,40,34,47,50,102,67,45,388,0,10,34,33,27,39,44,92,67,42,52,0,2,9,7,7,8,6,10,0,3
"Chirurgie générale","Cabinet de groupe, société",870,0,26,53,88,74,81,130,234,144,40,805,0,17,40,70,73,71,127,228,140,39,65,0,9,13,18,1,10,3,6,4,1
"Chirurgie générale","Prévention",9,1,0,2,1,1,0,0,1,0,3,6,1,0,1,0,0,0,0,1,0,3,3,0,0,1,1,1,0,0,0,0,0
"Chirurgie générale","Autres secteurs",405,6,32,35,23,37,33,69,112,42,16,359,4,20,23,19,32,31,63,109,42,16,46,2,12,12,4,5,2,6,3,0,0
"Chirurgie générale","Activités exercées par des remplaçants",222,11,90,16,6,6,2,5,21,35,30,176,10,57,13,4,4,2,4,19,35,28,46,1,33,3,2,2,0,1,2,0,2
"Chirurgie maxillo-faciale et stomatologie","ENSEMBLE",1950,12,128,227,128,154,159,254,596,219,73,1582,4,79,164,102,116,113,210,529,195,70,368,8,49,63,26,38,46,44,67,24,3
"Chirurgie maxillo-faciale et stomatologie","Hôpital public",361,10,50,44,23,29,31,44,81,36,13,270,4,32,29,17,19,22,34,71,30,12,91,6,18,15,6,10,9,10,10,6,1
"Chirurgie maxillo-faciale et stomatologie","Etablissement privé ESPIC",17,0,1,6,2,0,0,4,4,0,0,11,0,0,3,2,0,0,3,3,0,0,6,0,1,3,0,0,0,1,1,0,0
"Chirurgie maxillo-faciale et stomatologie","Etablissement privé lucratif",315,0,16,59,30,36,36,41,74,21,2,271,0,12,46,23,29,28,39,71,21,2,44,0,4,13,7,7,8,2,3,0,0
"Chirurgie maxillo-faciale et stomatologie","Centre de santé",100,1,1,7,4,3,5,8,42,15,14,80,0,0,5,4,3,5,6,33,11,13,20,1,1,2,0,0,0,2,9,4,1
"Chirurgie maxillo-faciale et stomatologie","Cabinet individuel",471,0,6,31,17,28,28,54,200,79,28,391,0,2,22,14,23,17,43,173,70,27,80,0,4,9,3,5,11,11,27,9,1
"Chirurgie maxillo-faciale et stomatologie","Cabinet de groupe, société",568,1,33,70,42,48,48,84,175,55,12,470,0,21,51,34,33,34,69,162,54,12,98,1,12,19,8,15,14,15,13,1,0
"Chirurgie maxillo-faciale et stomatologie","Prévention",2,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Chirurgie maxillo-faciale et stomatologie","Autres secteurs",76,0,2,6,9,10,9,16,17,5,2,64,0,2,4,8,9,7,14,14,4,2,12,0,0,2,1,1,2,2,3,1,0
"Chirurgie maxillo-faciale et stomatologie","Activités exercées par des remplaçants",40,0,19,4,1,0,2,3,3,7,1,23,0,10,4,0,0,0,2,2,4,1,17,0,9,0,1,0,2,1,1,3,0
"Chirurgie orthopédique et traumatologie","ENSEMBLE",6169,0,414,1068,692,857,929,1091,729,295,94,5811,0,355,931,655,807,902,1060,715,293,93,358,0,59,137,37,50,27,31,14,2,1
"Chirurgie orthopédique et traumatologie","Hôpital public",1493,0,135,219,154,199,218,270,211,75,12,1373,0,108,183,142,184,209,259,203,73,12,120,0,27,36,12,15,9,11,8,2,0
"Chirurgie orthopédique et traumatologie","Etablissement privé ESPIC",165,0,12,36,15,19,23,27,20,12,1,152,0,10,31,13,18,21,27,19,12,1,13,0,2,5,2,1,2,0,1,0,0
"Chirurgie orthopédique et traumatologie","Etablissement privé lucratif",1056,0,64,219,142,144,157,175,104,44,7,1005,0,56,195,136,139,152,172,104,44,7,51,0,8,24,6,5,5,3,0,0,0
"Chirurgie orthopédique et traumatologie","Centre de santé",54,0,0,3,1,10,11,4,12,4,9,52,0,0,3,1,8,11,4,12,4,9,2,0,0,0,0,2,0,0,0,0,0
"Chirurgie orthopédique et traumatologie","Cabinet individuel",712,0,43,142,81,98,101,121,73,33,20,666,0,39,117,80,90,96,118,73,33,20,46,0,4,25,1,8,5,3,0,0,0
"Chirurgie orthopédique et traumatologie","Cabinet de groupe, société",2038,0,129,369,243,281,311,384,214,80,27,1936,0,113,331,228,268,305,373,212,80,26,102,0,16,38,15,13,6,11,2,0,1
"Chirurgie orthopédique et traumatologie","Prévention",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chirurgie orthopédique et traumatologie","Autres secteurs",505,0,1,52,50,89,96,102,81,27,7,491,0,1,50,49,83,96,99,79,27,7,14,0,0,2,1,6,0,3,2,0,0
"Chirurgie orthopédique et traumatologie","Activités exercées par des remplaçants",145,0,30,28,6,16,12,8,14,20,11,135,0,28,21,6,16,12,8,13,20,11,10,0,2,7,0,0,0,0,1,0,0
"Chirurgie infantile","ENSEMBLE",493,0,20,78,78,96,87,58,48,23,5,266,0,5,30,39,39,53,36,38,21,5,227,0,15,48,39,57,34,22,10,2,0
"Chirurgie infantile","Hôpital public",291,0,18,53,43,58,45,35,24,11,4,146,0,5,21,18,22,27,20,20,9,4,145,0,13,32,25,36,18,15,4,2,0
"Chirurgie infantile","Etablissement privé ESPIC",16,0,1,1,6,1,3,1,3,0,0,8,0,0,1,3,1,0,1,2,0,0,8,0,1,0,3,0,3,0,1,0,0
"Chirurgie infantile","Etablissement privé lucratif",21,0,0,5,4,5,2,2,2,1,0,11,0,0,2,2,2,2,1,1,1,0,10,0,0,3,2,3,0,1,1,0,0
"Chirurgie infantile","Centre de santé",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chirurgie infantile","Cabinet individuel",61,0,0,11,8,16,11,4,6,5,0,28,0,0,4,2,6,5,2,4,5,0,33,0,0,7,6,10,6,2,2,0,0
"Chirurgie infantile","Cabinet de groupe, société",40,0,0,2,8,5,9,7,5,4,0,22,0,0,1,5,1,5,3,3,4,0,18,0,0,1,3,4,4,4,2,0,0
"Chirurgie infantile","Prévention",3,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
"Chirurgie infantile","Autres secteurs",53,0,0,3,7,10,16,6,8,2,1,44,0,0,0,7,7,13,6,8,2,1,9,0,0,3,0,3,3,0,0,0,0
"Chirurgie infantile","Activités exercées par des remplaçants",8,0,1,0,2,1,1,3,0,0,0,6,0,0,0,2,0,1,3,0,0,0,2,0,1,0,0,1,0,0,0,0,0
"Chirurgie plastique reconstructrice et esthétique","ENSEMBLE",2070,0,170,367,269,226,345,358,178,97,60,1587,0,116,259,199,156,277,287,152,87,54,483,0,54,108,70,70,68,71,26,10,6
"Chirurgie plastique reconstructrice et esthétique","Hôpital public",327,0,48,72,47,32,48,44,22,8,6,236,0,29,49,33,20,36,40,17,7,5,91,0,19,23,14,12,12,4,5,1,1
"Chirurgie plastique reconstructrice et esthétique","Etablissement privé ESPIC",32,0,4,10,6,5,4,2,0,1,0,19,0,2,6,3,2,3,2,0,1,0,13,0,2,4,3,3,1,0,0,0,0
"Chirurgie plastique reconstructrice et esthétique","Etablissement privé lucratif",514,0,34,92,65,57,91,93,51,21,10,392,0,24,65,46,42,73,69,47,17,9,122,0,10,27,19,15,18,24,4,4,1
"Chirurgie plastique reconstructrice et esthétique","Centre de santé",18,0,2,4,3,1,1,1,1,4,1,14,0,2,2,3,0,1,1,1,3,1,4,0,0,2,0,1,0,0,0,1,0
"Chirurgie plastique reconstructrice et esthétique","Cabinet individuel",434,0,25,58,53,51,66,75,50,30,26,333,0,17,38,36,35,54,60,40,30,23,101,0,8,20,17,16,12,15,10,0,3
"Chirurgie plastique reconstructrice et esthétique","Cabinet de groupe, société",617,0,36,96,75,68,118,132,49,28,15,499,0,27,72,62,52,96,108,44,24,14,118,0,9,24,13,16,22,24,5,4,1
"Chirurgie plastique reconstructrice et esthétique","Prévention",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chirurgie plastique reconstructrice et esthétique","Autres secteurs",94,0,7,29,17,8,16,10,5,2,0,69,0,3,24,14,4,13,6,3,2,0,25,0,4,5,3,4,3,4,2,0,0
"Chirurgie plastique reconstructrice et esthétique","Activités exercées par des remplaçants",34,0,14,6,3,4,1,1,0,3,2,25,0,12,3,2,1,1,1,0,3,2,9,0,2,3,1,3,0,0,0,0,0
"Chirurgie thoracique et cardio-vasculaire","ENSEMBLE",776,0,22,111,151,123,164,144,36,18,7,712,0,19,90,132,111,158,143,34,18,7,64,0,3,21,19,12,6,1,2,0,0
"Chirurgie thoracique et cardio-vasculaire","Hôpital public",328,0,15,55,66,50,60,60,12,7,3,290,0,12,41,55,44,58,59,11,7,3,38,0,3,14,11,6,2,1,1,0,0
"Chirurgie thoracique et cardio-vasculaire","Etablissement privé ESPIC",29,0,0,7,4,5,5,5,3,0,0,24,0,0,5,3,4,4,5,3,0,0,5,0,0,2,1,1,1,0,0,0,0
"Chirurgie thoracique et cardio-vasculaire","Etablissement privé lucratif",84,0,1,13,22,9,22,12,2,3,0,83,0,1,12,22,9,22,12,2,3,0,1,0,0,1,0,0,0,0,0,0,0
"Chirurgie thoracique et cardio-vasculaire","Centre de santé",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chirurgie thoracique et cardio-vasculaire","Cabinet individuel",65,0,2,9,15,9,10,11,6,2,1,59,0,2,9,12,7,9,11,6,2,1,6,0,0,0,3,2,1,0,0,0,0
"Chirurgie thoracique et cardio-vasculaire","Cabinet de groupe, société",140,0,4,15,19,22,39,28,7,4,2,131,0,4,11,19,19,37,28,7,4,2,9,0,0,4,0,3,2,0,0,0,0
"Chirurgie thoracique et cardio-vasculaire","Prévention",2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"Chirurgie thoracique et cardio-vasculaire","Autres secteurs",118,0,0,9,22,26,27,27,5,2,0,115,0,0,9,20,26,27,27,4,2,0,3,0,0,0,2,0,0,0,1,0,0
"Chirurgie thoracique et cardio-vasculaire","Activités exercées par des remplaçants",10,0,0,3,2,2,1,0,1,0,1,9,0,0,3,1,2,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
"Chirurgie urologique","ENSEMBLE",2868,0,209,529,387,433,467,437,256,108,42,2719,0,172,480,371,411,453,432,251,107,42,149,0,37,49,16,22,14,5,5,1,0
"Chirurgie urologique","Hôpital public",608,0,59,122,81,84,89,97,48,19,9,566,0,44,106,78,82,86,95,48,18,9,42,0,15,16,3,2,3,2,0,1,0
"Chirurgie urologique","Etablissement privé ESPIC",98,0,17,12,14,20,11,8,11,1,4,92,0,14,10,14,19,11,8,11,1,4,6,0,3,2,0,1,0,0,0,0,0
"Chirurgie urologique","Etablissement privé lucratif",535,0,35,112,82,77,84,71,50,18,6,512,0,32,104,78,72,81,71,50,18,6,23,0,3,8,4,5,3,0,0,0,0
"Chirurgie urologique","Centre de santé",39,0,4,5,6,5,4,5,1,5,4,38,0,4,4,6,5,4,5,1,5,4,1,0,0,1,0,0,0,0,0,0,0
"Chirurgie urologique","Cabinet individuel",296,0,22,55,31,50,44,51,24,11,8,282,0,16,50,31,49,43,50,24,11,8,14,0,6,5,0,1,1,1,0,0,0
"Chirurgie urologique","Cabinet de groupe, société",1027,0,62,181,133,154,201,151,99,39,7,978,0,55,167,126,144,195,149,96,39,7,49,0,7,14,7,10,6,2,3,0,0
"Chirurgie urologique","Prévention",3,0,0,0,1,1,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"Chirurgie urologique","Autres secteurs",229,0,3,35,36,41,34,48,20,9,3,220,0,2,32,35,39,33,48,19,9,3,9,0,1,3,1,2,1,0,1,0,0
"Chirurgie urologique","Activités exercées par des remplaçants",33,0,7,7,3,1,0,6,3,5,1,29,0,5,7,2,1,0,6,2,5,1,4,0,2,0,1,0,0,0,1,0,0
"Chirurgie vasculaire","ENSEMBLE",1092,0,57,140,107,184,177,144,163,98,22,958,0,33,93,81,174,165,135,157,98,22,134,0,24,47,26,10,12,9,6,0,0
"Chirurgie vasculaire","Hôpital public",260,0,28,38,25,43,34,29,38,23,2,213,0,13,24,17,40,31,28,35,23,2,47,0,15,14,8,3,3,1,3,0,0
"Chirurgie vasculaire","Etablissement privé ESPIC",32,0,1,7,8,5,4,3,2,1,1,25,0,0,5,6,5,2,3,2,1,1,7,0,1,2,2,0,2,0,0,0,0
"Chirurgie vasculaire","Etablissement privé lucratif",216,0,9,23,24,43,42,36,21,15,3,195,0,8,16,18,40,41,33,21,15,3,21,0,1,7,6,3,1,3,0,0,0
"Chirurgie vasculaire","Centre de santé",17,0,0,0,0,1,4,1,7,2,2,17,0,0,0,0,1,4,1,7,2,2,0,0,0,0,0,0,0,0,0,0,0
"Chirurgie vasculaire","Cabinet individuel",164,0,3,24,10,28,26,28,30,10,5,143,0,1,15,5,27,25,25,30,10,5,21,0,2,9,5,1,1,3,0,0,0
"Chirurgie vasculaire","Cabinet de groupe, société",297,0,12,36,29,50,53,30,49,35,3,275,0,10,27,26,48,49,29,48,35,3,22,0,2,9,3,2,4,1,1,0,0
